base_seed,dataset,elapsed_time,fold,max_depth,model,random_seed,test_acc,train_acc,trial_id,trial_id_agg,val_acc,hyperparameters
42,avila,0.179636,3,2,ShapeCART,145,0.556301,0.558195,103,103_2,0.550551,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.01,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":2,""min_samples_split"":16}"
42,avila,0.171816,4,2,ShapeCART,145,0.562051,0.554704,103,103_2,0.549114,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.01,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":2,""min_samples_split"":16}"
42,avila,0.234148,0,2,ShapeCART,146,0.551030,0.551760,104,104_2,0.560613,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":16,""min_samples_split"":32}"
42,avila,0.223252,1,2,ShapeCART,146,0.569478,0.553197,104,104_2,0.523239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":16,""min_samples_split"":32}"
42,avila,0.221783,2,2,ShapeCART,146,0.546478,0.555388,104,104_2,0.555822,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":16,""min_samples_split"":32}"
42,avila,0.612324,3,2,ShapeCART,146,0.550791,0.552307,104,104_2,0.548155,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":16,""min_samples_split"":32}"
42,avila,0.251041,4,2,ShapeCART,146,0.562290,0.554087,104,104_2,0.549593,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":16,""min_samples_split"":32}"
42,avila,0.309443,0,2,ShapeCART,147,0.523718,0.529782,105,105_2,0.534739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":15,""min_samples_split"":32}"
42,avila,0.153800,1,2,ShapeCART,147,0.542405,0.526564,105,105_2,0.507427,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":15,""min_samples_split"":32}"
42,avila,0.145842,2,2,ShapeCART,147,0.519406,0.531220,105,105_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":15,""min_samples_split"":32}"
42,avila,0.296920,3,2,ShapeCART,147,0.530426,0.531699,105,105_2,0.524197,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":15,""min_samples_split"":32}"
42,avila,0.135802,4,2,ShapeCART,147,0.542885,0.530056,105,105_2,0.519885,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":15,""min_samples_split"":32}"
42,avila,0.146407,0,2,ShapeCART,148,0.525635,0.530467,106,106_2,0.537614,"{""criterion"":""gini"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":15,""min_samples_split"":16}"
42,avila,0.158192,1,2,ShapeCART,148,0.545041,0.528618,106,106_2,0.511739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":15,""min_samples_split"":16}"
42,avila,0.424503,2,2,ShapeCART,148,0.519406,0.531562,106,106_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":15,""min_samples_split"":16}"
42,avila,0.157479,3,2,ShapeCART,148,0.531385,0.532932,106,106_2,0.525156,"{""criterion"":""gini"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":15,""min_samples_split"":16}"
42,avila,0.153957,4,2,ShapeCART,148,0.543843,0.530193,106,106_2,0.519406,"{""criterion"":""gini"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":15,""min_samples_split"":16}"
42,avila,0.171987,0,2,ShapeCART,149,0.524197,0.530330,107,107_2,0.534739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":27,""min_samples_split"":2}"
42,avila,0.148300,1,2,ShapeCART,149,0.544082,0.527865,107,107_2,0.512218,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":27,""min_samples_split"":2}"
42,avila,0.177112,2,2,ShapeCART,149,0.519406,0.531905,107,107_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":27,""min_samples_split"":2}"
42,avila,0.228778,3,2,ShapeCART,149,0.530426,0.532315,107,107_2,0.524677,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":27,""min_samples_split"":2}"
42,avila,0.174078,4,2,ShapeCART,149,0.543364,0.530604,107,107_2,0.519885,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":27,""min_samples_split"":2}"
