model,trial_id,fold,dataset,random_seed,base_seed,train_acc,val_acc,test_acc,elapsed_time,file_path,generalization_gap,_agg_trial,hyperparameters,max_depth,actual_depth,n_leaves,failed,model_clean
XGBoost,172,4,skin,214,42,0.901066,0.89778,0.899739,0.398736,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_172_4.json,0.0013270000000000781,172,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 50, ""subsample"": 0.5}",,,,,
ShapeFBT,200,1,skin,242,42,0.577688,0.580797,0.580062,290.087847,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_200_1.json,0.0023739999999999872,200,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 5, ""min_samples_split"": 5, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 250}",,,,,
XGBoost,115,3,skin,157,42,0.933537,0.933037,0.934465,1.87412,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_115_3.json,0.0009280000000000399,115,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
XGBoost,147,1,skin,189,42,0.927352,0.927324,0.926793,0.518245,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_147_1.json,0.0005589999999999762,147,"{""colsample_bytree"": 0.25, ""gamma"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",,,,,
ShapeFBT,54,3,skin,96,42,0.578317,0.578022,0.579246,453.197377,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_54_3.json,0.0009290000000000687,54,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
XGBoost,85,1,skin,127,42,0.927352,0.927324,0.926793,0.778118,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_85_1.json,0.0005589999999999762,85,"{""colsample_bytree"": 0.25, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 50, ""subsample"": 0.63}",,,,,
ShapeFBT,37,3,skin,79,42,0.891529,0.892435,0.891618,808.713728,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_37_3.json,8.900000000000574e-05,37,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,65,1,skin,107,42,0.888993,0.888884,0.890374,463.361355,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_65_1.json,0.0013809999999999656,65,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 50}",,,,,
XGBoost,176,3,skin,218,42,0.933537,0.933037,0.934465,1.271655,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_176_3.json,0.0009280000000000399,176,"{""colsample_bytree"": 0.75, ""gamma"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.8}",,,,,
XGBoost,124,1,skin,166,42,0.902512,0.900922,0.903615,0.698914,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_124_1.json,0.0011029999999999651,124,"{""colsample_bytree"": 0.25, ""gamma"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.63}",,,,,
ShapeFBT,186,3,skin,228,42,0.888993,0.890802,0.889415,669.143043,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_186_3.json,0.00042199999999992244,186,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,43,0,skin,85,42,0.91522,0.914592,0.914205,144.497661,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_43_0.json,0.0010149999999999881,43,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 250}",,,,,
