model,trial_id,fold,dataset,random_seed,base_seed,train_acc,val_acc,test_acc,elapsed_time,file_path,generalization_gap,_agg_trial,hyperparameters,max_depth,actual_depth,n_leaves,failed,model_clean
XGBoost,121,2,rice,163,42,0.931009,0.910761,0.933071,0.624999,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_121_2.json,0.0020620000000000083,121,"{""colsample_bytree"": 0.25, ""gamma"": 0.5, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,64,1,rice,106,42,0.955756,0.931759,0.927822,0.502411,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_64_1.json,0.027934000000000014,64,"{""colsample_bytree"": 0.25, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
ShapeFBT,84,1,rice,126,42,0.428946,0.404199,0.435696,1.756505,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_84_1.json,0.006750000000000034,84,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,3,1,rice,45,42,0.929509,0.929134,0.931759,48.56471,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_3_1.json,0.0022499999999999742,3,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 500}",,,,,
XGBoost,51,4,rice,93,42,0.936633,0.931759,0.926509,0.799846,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_51_4.json,0.010124000000000022,51,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.2, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.63}",,,,,
XGBoost,42,0,rice,84,42,0.938883,0.934383,0.926509,0.628305,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_42_0.json,0.012373999999999996,42,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
XGBoost,107,3,rice,149,42,0.940007,0.931759,0.927822,0.572742,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_107_3.json,0.012185000000000001,107,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",,,,,
XGBoost,155,1,rice,197,42,0.944507,0.926509,0.934383,0.484716,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_155_1.json,0.010124000000000022,155,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
XGBoost,10,2,rice,52,42,0.950131,0.902887,0.929134,0.81887,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_10_2.json,0.020996999999999932,10,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.63}",,,,,
XGBoost,19,1,rice,61,42,0.952381,0.931759,0.933071,0.562973,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_19_1.json,0.01931000000000005,19,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
ShapeFBT,93,2,rice,135,42,0.929134,0.908136,0.931759,28.625681,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_93_2.json,0.0026249999999999885,93,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 100}",,,,,
XGBoost,21,0,rice,63,42,0.974503,0.926509,0.918635,0.664588,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_21_0.json,0.05586800000000003,21,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 250, ""subsample"": 1.0}",,,,,
XGBoost,164,3,rice,206,42,0.933258,0.926509,0.923885,0.635594,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_164_3.json,0.009373000000000076,164,"{""colsample_bytree"": 0.5, ""gamma"": 5.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,136,1,rice,178,42,0.931384,0.929134,0.925197,2.247614,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_136_1.json,0.0061869999999999425,136,"{""colsample_bytree"": 0.25, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,73,2,rice,115,42,0.949006,0.905512,0.929134,0.628453,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_73_2.json,0.019872,73,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 250, ""subsample"": 0.63}",,,,,
XGBoost,28,3,rice,70,42,0.932133,0.934383,0.929134,0.486478,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_28_3.json,0.002998999999999974,28,"{""colsample_bytree"": 0.75, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
ShapeFBT,194,3,rice,236,42,0.91601,0.895013,0.913386,70.51592,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_194_3.json,0.0026239999999999597,194,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
XGBoost,32,4,rice,74,42,0.938883,0.934383,0.931759,0.469903,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_32_4.json,0.007124000000000019,32,"{""colsample_bytree"": 0.75, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
XGBoost,119,3,rice,161,42,0.995876,0.92126,0.914698,0.790498,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_119_3.json,0.08117799999999997,119,"{""colsample_bytree"": 0.75, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
XGBoost,55,3,rice,97,42,0.931009,0.92126,0.925197,0.555863,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_55_3.json,0.005811999999999928,55,"{""colsample_bytree"": 0.5, ""gamma"": 0.5, ""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
XGBoost,110,0,rice,152,42,0.942632,0.942257,0.925197,0.705405,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_110_0.json,0.01743499999999998,110,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50, ""subsample"": 1.0}",,,,,
XGBoost,142,2,rice,184,42,0.934383,0.913386,0.933071,2.515909,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_142_2.json,0.0013119999999999798,142,"{""colsample_bytree"": 0.75, ""gamma"": 5.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 0.63}",,,,,
XGBoost,103,4,rice,145,42,0.931759,0.929134,0.929134,0.592013,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_103_4.json,0.0026249999999999885,103,"{""colsample_bytree"": 0.5, ""gamma"": 5.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 250, ""subsample"": 0.5}",,,,,
ShapeFBT,137,0,rice,179,42,0.926509,0.931759,0.929134,11.990761,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_137_0.json,0.0026249999999999885,137,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,165,2,rice,207,42,0.929884,0.905512,0.930446,4.786775,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_165_2.json,0.0005619999999999514,165,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,39,2,rice,81,42,0.915636,0.887139,0.917323,9.636258,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_39_2.json,0.001686999999999994,39,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 50}",,,,,
XGBoost,195,2,rice,237,42,0.937383,0.902887,0.934383,0.798505,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_195_2.json,0.0030000000000000027,195,"{""colsample_bytree"": 0.25, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 1.0}",,,,,
XGBoost,82,3,rice,124,42,0.967379,0.929134,0.914698,0.692178,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_82_3.json,0.05268099999999998,82,"{""colsample_bytree"": 1.0, ""gamma"": 5.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",,,,,
ShapeFBT,62,3,rice,104,42,0.929134,0.923885,0.923885,66.363121,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_62_3.json,0.005249000000000059,62,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,30,1,rice,72,42,0.950131,0.910761,0.910761,182.993963,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_30_1.json,0.039369999999999905,30,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,78,4,rice,120,42,0.927634,0.929134,0.925197,37.670255,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_78_4.json,0.0024369999999999115,78,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 100}",,,,,
XGBoost,98,4,rice,140,42,0.983127,0.929134,0.922572,1.039458,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_98_4.json,0.060555000000000025,98,"{""colsample_bytree"": 0.75, ""gamma"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 250, ""subsample"": 1.0}",,,,,
ShapeFBT,124,4,rice,166,42,0.925009,0.929134,0.926509,78.894714,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_124_4.json,0.0015000000000000568,124,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
XGBoost,7,4,rice,49,42,0.932508,0.931759,0.926509,0.392143,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_7_4.json,0.005998999999999977,7,"{""colsample_bytree"": 0.75, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.5}",,,,,
ShapeFBT,118,2,rice,160,42,0.929509,0.897638,0.931759,27.390604,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_118_2.json,0.0022499999999999742,118,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,16,0,rice,58,42,0.926509,0.931759,0.929134,20.793823,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_16_0.json,0.0026249999999999885,16,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,44,2,rice,86,42,0.92051,0.905512,0.92126,65.995539,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_44_2.json,0.0007499999999999174,44,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,143,3,rice,185,42,0.929134,0.923885,0.923885,4.17233,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_143_3.json,0.005249000000000059,143,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,111,1,rice,153,42,0.928009,0.91601,0.933071,28.92228,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_111_1.json,0.005062000000000011,111,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,159,4,rice,201,42,0.927634,0.923885,0.926509,18.834749,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_159_4.json,0.0011249999999999316,159,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 100}",,,,,
XGBoost,86,4,rice,128,42,0.947882,0.931759,0.931759,0.612213,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_86_4.json,0.016123,86,"{""colsample_bytree"": 0.5, ""gamma"": 0.5, ""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 250, ""subsample"": 1.0}",,,,,
ShapeFBT,66,4,rice,108,42,0.928384,0.929134,0.926509,19.805275,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_66_4.json,0.00187499999999996,66,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 1, ""min_samples_split"": 10, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,75,0,rice,117,42,0.925759,0.931759,0.931759,19.778049,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_75_0.json,0.006000000000000005,75,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,27,2,rice,69,42,0.923135,0.902887,0.929134,10.759212,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_27_2.json,0.005998999999999977,27,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 50}",,,,,
XGBoost,182,1,rice,224,42,0.971129,0.929134,0.930446,0.564375,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_182_1.json,0.040683000000000025,182,"{""colsample_bytree"": 0.5, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.63}",,,,,
ShapeFBT,129,0,rice,171,42,0.936258,0.937008,0.926509,17.363496,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_129_0.json,0.009749000000000008,129,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 2, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 500}",,,,,
XGBoost,95,0,rice,137,42,0.942257,0.939633,0.925197,0.525774,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_95_0.json,0.017059999999999964,95,"{""colsample_bytree"": 0.5, ""gamma"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
XGBoost,3,3,rice,45,42,0.952756,0.931759,0.918635,0.874106,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_3_3.json,0.03412100000000007,3,"{""colsample_bytree"": 0.75, ""gamma"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
ShapeFBT,120,3,rice,162,42,0.926884,0.923885,0.926509,10.060915,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_120_3.json,0.0003750000000000142,120,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,172,1,rice,214,42,0.92051,0.934383,0.927822,8.095912,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_172_1.json,0.007311999999999985,172,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,147,4,rice,189,42,0.927634,0.923885,0.926509,13.128021,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_147_4.json,0.0011249999999999316,147,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 100}",,,,,
XGBoost,200,4,rice,242,42,0.936258,0.929134,0.927822,0.420964,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_200_4.json,0.008435999999999999,200,"{""colsample_bytree"": 1.0, ""gamma"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 50, ""subsample"": 0.63}",,,,,
ShapeFBT,154,0,rice,196,42,0.926884,0.931759,0.929134,35.798421,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_154_0.json,0.0022499999999999742,154,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,106,2,rice,148,42,0.929134,0.905512,0.930446,10.56624,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_106_2.json,0.0013119999999999798,106,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,53,1,rice,95,42,0.928009,0.926509,0.931759,22.784933,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_53_1.json,0.003750000000000031,53,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,70,3,rice,112,42,0.929134,0.923885,0.923885,2.710169,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_70_3.json,0.005249000000000059,70,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 5, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,22,1,rice,64,42,0.975253,0.918635,0.913386,225.574623,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_22_1.json,0.061867000000000005,22,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 250}",,,,,
XGBoost,187,2,rice,229,42,0.975628,0.905512,0.92126,0.848515,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_187_2.json,0.05436800000000008,187,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,90,3,rice,132,42,0.926884,0.92126,0.925197,0.721547,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_90_3.json,0.001686999999999994,90,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 50, ""subsample"": 0.5}",,,,,
XGBoost,6,0,rice,48,42,0.931759,0.939633,0.927822,0.720286,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_6_0.json,0.003936999999999968,6,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",,,,,
ShapeFBT,79,0,rice,121,42,0.927634,0.929134,0.926509,46.352623,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_79_0.json,0.0011249999999999316,79,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,125,0,rice,167,42,0.926509,0.931759,0.929134,18.597898,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_125_0.json,0.0026249999999999885,125,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 500}",,,,,
XGBoost,99,0,rice,141,42,0.982002,0.92126,0.917323,0.653253,all_results/xgb_shapefbt_results/rice/xgb_results_trial_rice_99_0.json,0.06467900000000004,99,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 1.0}",,,,,
ShapeFBT,177,2,rice,219,42,0.929134,0.908136,0.931759,12.445602,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_177_2.json,0.0026249999999999885,177,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,136,4,rice,178,42,0.928009,0.931759,0.923885,82.054101,all_results/xgb_shapefbt_results/rice/shapefbt_results_trial_rice_136_4.json,0.0041240000000000165,136,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 2, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 250}",,,,,
