model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,bidding,0,2,10,4,0.981691,0.981013,0.973123,0.008568,1.165931,fbt_capability_bidding_n10_d4_trial_0_fold_2.json
FBT,bidding,0,2,60,3,0.983047,0.984177,0.974704,0.008343,4.424186,fbt_capability_bidding_n60_d3_trial_0_fold_2.json
FBT,bidding,0,2,100,5,0.958409,0.958861,0.95415,0.004259,9.792967,fbt_capability_bidding_n100_d5_trial_0_fold_2.json
FBT,bidding,0,2,20,5,0.981691,0.981013,0.973123,0.008568,2.237252,fbt_capability_bidding_n20_d5_trial_0_fold_2.json
FBT,bidding,0,2,20,4,0.981691,0.981013,0.973123,0.008568,1.969368,fbt_capability_bidding_n20_d4_trial_0_fold_2.json
FBT,bidding,0,2,100,4,0.978526,0.984177,0.982609,-0.004083,9.990399,fbt_capability_bidding_n100_d4_trial_0_fold_2.json
FBT,bidding,0,2,20,3,0.974231,0.973101,0.967589,0.006642,1.628952,fbt_capability_bidding_n20_d3_trial_0_fold_2.json
FBT,bidding,0,2,100,3,0.978526,0.984177,0.982609,-0.004083,8.120773,fbt_capability_bidding_n100_d3_trial_0_fold_2.json
FBT,bidding,0,2,60,4,0.978752,0.984177,0.981818,-0.003066,5.669945,fbt_capability_bidding_n60_d4_trial_0_fold_2.json
FBT,bidding,0,2,60,5,0.955922,0.952532,0.956522,-0.0006,6.682918,fbt_capability_bidding_n60_d5_trial_0_fold_2.json
FBT,bidding,0,2,40,3,0.981691,0.981013,0.973123,0.008568,2.961702,fbt_capability_bidding_n40_d3_trial_0_fold_2.json
FBT,bidding,0,2,40,5,0.977622,0.981013,0.981028,-0.003406,4.171785,fbt_capability_bidding_n40_d5_trial_0_fold_2.json
FBT,bidding,0,2,40,4,0.97943,0.982595,0.978656,0.000774,3.623809,fbt_capability_bidding_n40_d4_trial_0_fold_2.json
FBT,bidding,0,2,80,4,0.978074,0.982595,0.981818,-0.003744,9.024735,fbt_capability_bidding_n80_d4_trial_0_fold_2.json
FBT,bidding,0,2,80,5,0.955018,0.957278,0.951779,0.003239,8.315092,fbt_capability_bidding_n80_d5_trial_0_fold_2.json
FBT,bidding,0,2,80,3,0.983273,0.981013,0.977866,0.005407,5.999569,fbt_capability_bidding_n80_d3_trial_0_fold_2.json
FBT,bidding,0,3,10,4,0.981691,0.976266,0.978656,0.003035,1.224931,fbt_capability_bidding_n10_d4_trial_0_fold_3.json
FBT,bidding,0,3,10,5,0.982821,0.976266,0.978656,0.004165,1.485911,fbt_capability_bidding_n10_d5_trial_0_fold_3.json
FBT,bidding,0,3,10,3,0.981239,0.976266,0.978656,0.002583,1.074309,fbt_capability_bidding_n10_d3_trial_0_fold_3.json
FBT,bidding,0,3,60,5,0.982821,0.969937,0.977075,0.005746,7.183603,fbt_capability_bidding_n60_d5_trial_0_fold_3.json
FBT,bidding,0,3,60,4,0.982821,0.976266,0.978656,0.004165,5.823712,fbt_capability_bidding_n60_d4_trial_0_fold_3.json
FBT,bidding,0,3,100,3,0.982143,0.973101,0.979447,0.002696,7.628146,fbt_capability_bidding_n100_d3_trial_0_fold_3.json
FBT,bidding,0,3,20,3,0.973553,0.968354,0.973913,-0.00036,1.7342,fbt_capability_bidding_n20_d3_trial_0_fold_3.json
